"Дата"	"Всего"	"Денежный агрегат М2"	"Депозиты в иностранной валюте других финансовых организаций"	"Депозиты в иностранной валюте нефинансовых организаций"	"Депозиты в иностранной валюте домашних хозяйств"	"Депозитные и сберегательные сертификаты"
"Декабрь 1992"	""	6.5	""	""	""	""
"Январь 1993"	""	7.7	""	""	""	""
"Февраль 1993"	""	8.4	""	""	""	""
"Март 1993"	""	9.6	""	""	""	""
"Апрель 1993"	""	11.8	""	""	""	""
"Май 1993"	""	14.5	""	""	""	""
"Июнь 1993"	""	13.8	""	""	""	""
"Июль 1993"	""	19.6	""	""	""	""
"Август 1993"	""	22.3	""	""	""	""
"Сентябрь 1993"	""	22.9	""	""	""	""
"Октябрь 1993"	""	25.8	""	""	""	""
"Ноябрь 1993"	""	28.0	""	""	""	""
"Декабрь 1993"	""	33.2	""	""	""	""
"Январь 1994"	""	35.5	""	""	""	""
"Февраль 1994"	""	37.0	""	""	""	""
"Март 1994"	""	40.3	""	""	""	""
"Апрель 1994"	""	47.3	""	""	""	""
"Май 1994"	""	53.7	""	""	""	""
"Июнь 1994"	""	60.7	""	""	""	""
"Июль 1994"	""	65.7	""	""	""	""
"Август 1994"	""	72.6	""	""	""	""
"Сентябрь 1994"	""	78.6	""	""	""	""
"Октябрь 1994"	""	82.5	""	""	""	""
"Ноябрь 1994"	""	86.6	""	""	""	""
"Декабрь 1994"	""	97.8	""	""	""	""
"Январь 1995"	""	93.5	""	""	""	""
"Февраль 1995"	""	101.7	""	""	""	""
"Март 1995"	""	107.2	""	""	""	""
"Апрель 1995"	""	123.2	""	""	""	""
"Май 1995"	""	138.2	""	""	""	""
"Июнь 1995"	""	156.6	""	""	""	""
"Июль 1995"	""	165.0	""	""	""	""
"Август 1995"	""	173.8	""	""	""	""
"Сентябрь 1995"	""	179.7	""	""	""	""
"Октябрь 1995"	""	184.1	""	""	""	""
"Ноябрь 1995"	""	195.1	""	""	""	""
"Декабрь 1995"	""	220.8	""	""	""	""
"Январь 1996"	""	216.7	""	""	""	""
"Февраль 1996"	""	229.2	""	""	""	""
"Март 1996"	""	241.7	""	""	""	""
"Апрель 1996"	""	251.0	""	""	""	""
"Май 1996"	""	254.2	""	""	""	""
"Июнь 1996"	""	266.9	""	""	""	""
"Июль 1996"	""	271.8	""	""	""	""
"Август 1996"	""	275.3	""	""	""	""
"Сентябрь 1996"	""	276.1	""	""	""	""
"Октябрь 1996"	""	278.8	""	""	""	""
"Ноябрь 1996"	""	282.4	""	""	""	""
"Декабрь 1996"	""	288.3	""	""	""	""
"Январь 1997"	""	289.9	""	""	""	""
"Февраль 1997"	""	299.5	""	""	""	""
"Март 1997"	""	305.8	""	""	""	""
"Апрель 1997"	""	317.8	""	""	""	""
"Май 1997"	""	328.4	""	""	""	""
"Июнь 1997"	""	352.0	""	""	""	""
"Июль 1997"	""	363.0	""	""	""	""
"Август 1997"	""	364.6	""	""	""	""
"Сентябрь 1997"	""	363.0	""	""	""	""
"Октябрь 1997"	""	368.8	""	""	""	""
"Ноябрь 1997"	""	357.4	""	""	""	""
"Декабрь 1997"	""	374.1	""	""	""	""
"Январь 1998"	""	364.9	""	""	""	""
"Февраль 1998"	""	366.9	""	""	""	""
"Март 1998"	""	364.7	""	""	""	""
"Апрель 1998"	""	372.6	""	""	""	""
"Май 1998"	""	375.7	""	""	""	""
"Июнь 1998"	""	374.5	""	""	""	""
"Июль 1998"	""	365.6	""	""	""	""
"Август 1998"	""	350.5	""	""	""	""
"Сентябрь 1998"	""	374.1	""	""	""	""
"Октябрь 1998"	""	386.9	""	""	""	""
"Ноябрь 1998"	""	407.4	""	""	""	""
"Декабрь 1998"	""	453.7	""	""	""	""
"Январь 1999"	""	450.6	""	""	""	""
"Февраль 1999"	""	471.3	""	""	""	""
"Март 1999"	""	482.2	""	""	""	""
"Апрель 1999"	""	518.8	""	""	""	""
"Май 1999"	""	553.7	""	""	""	""
"Июнь 1999"	""	581.5	""	""	""	""
"Июль 1999"	""	596.0	""	""	""	""
"Август 1999"	""	605.7	""	""	""	""
"Сентябрь 1999"	""	611.9	""	""	""	""
"Октябрь 1999"	""	639.4	""	""	""	""
"Ноябрь 1999"	""	663.5	""	""	""	""
"Декабрь 1999"	""	714.6	""	""	""	""
"Январь 2000"	""	709.6	""	""	""	""
"Февраль 2000"	""	742.0	""	""	""	""
"Март 2000"	""	768.4	""	""	""	""
"Апрель 2000"	""	802.5	""	""	""	""
"Май 2000"	""	850.1	""	""	""	""
"Июнь 2000"	""	905.8	""	""	""	""
"Июль 2000"	""	950.5	""	""	""	""
"Август 2000"	""	977.6	""	""	""	""
"Сентябрь 2000"	""	1008.8	""	""	""	""
"Октябрь 2000"	""	1016.4	""	""	""	""
"Ноябрь 2000"	""	1054.6	""	""	""	""
"Декабрь 2000"	1573.8	1150.6	5.3	269.7	148.2	""
"Январь 2001"	1548.8	1090.0	5.5	299.7	153.6	""
"Февраль 2001"	1631.0	1118.5	5.0	345.5	162.0	""
"Март 2001"	1650.1	1159.6	6.9	315.6	168.0	""
"Апрель 2001"	1704.7	1220.5	7.2	302.4	174.6	""
"Май 2001"	1747.0	1242.6	7.7	315.4	181.3	""
"Июнь 2001"	1812.9	1301.3	7.3	315.4	188.9	""
"Июль 2001"	1859.7	1337.4	8.2	315.8	198.3	""
"Август 2001"	1888.9	1374.5	7.6	301.9	204.9	""
"Сентябрь 2001"	1942.0	1421.5	8.4	305.8	206.2	""
"Октябрь 2001"	1993.1	1449.8	8.7	321.6	213.0	""
"Ноябрь 2001"	2005.2	1448.2	9.7	324.5	222.8	""
"Декабрь 2001"	2137.8	1609.4	16.1	269.4	242.8	""
"Январь 2002"	2076.1	1511.2	15.9	290.2	258.8	""
"Февраль 2002"	2124.3	1532.8	17.6	304.7	269.2	""
"Март 2002"	2160.2	1574.1	18.6	285.0	282.4	""
"Апрель 2002"	2232.6	1630.7	18.3	286.5	297.2	""
"Май 2002"	2307.2	1700.2	16.1	284.7	306.3	""
"Июнь 2002"	2374.8	1764.1	12.3	278.1	320.3	""
"Июль 2002"	2422.0	1790.2	12.1	286.9	332.7	""
"Август 2002"	2463.5	1824.3	12.5	283.4	343.3	""
"Сентябрь 2002"	2510.4	1857.4	13.5	286.1	353.4	""
"Октябрь 2002"	2558.9	1900.0	17.0	277.7	364.3	""
"Ноябрь 2002"	2622.9	1943.9	17.4	286.5	375.1	""
"Декабрь 2002"	2858.8	2130.6	39.5	294.3	394.4	""
"Январь 2003"	2788.0	2033.3	40.4	289.7	424.6	""
"Февраль 2003"	2925.6	2114.1	38.7	351.4	421.4	""
"Март 2003"	3002.4	2218.4	36.0	325.7	422.3	""
"Апрель 2003"	3069.1	2326.1	42.1	270.9	430.0	""
"Май 2003"	3175.9	2447.3	15.9	282.9	429.7	""
"Июнь 2003"	3348.4	2619.3	17.8	283.9	427.3	""
"Июль 2003"	3408.0	2638.3	13.0	320.5	436.2	""
"Август 2003"	3460.6	2695.4	12.5	304.3	448.4	""
"Сентябрь 2003"	3586.1	2744.1	14.3	357.2	470.6	""
"Октябрь 2003"	3557.4	2753.6	11.0	326.0	466.8	""
"Ноябрь 2003"	3632.8	2835.2	11.8	323.5	462.3	""
"Декабрь 2003"	3954.3	3205.2	10.6	279.3	459.1	""
"Январь 2004"	3933.4	3203.3	16.0	276.9	437.2	""
"Февраль 2004"	4079.4	3323.5	11.6	306.5	437.8	""
